timestamp,power,appliance1,appliance2,appliance3,appliance5,appliance7
1649695460,351.58,0,351.58,0.0,0.0,0.0
1649695465,348.87,0,348.87,0.0,0.0,0.0
1649695471,347.23,0,347.23,0.0,0.0,0.0
1649695476,346.32,0,346.32,0.0,0.0,0.0
1649695482,345.16,0,345.16,0.0,0.0,0.0
1649695487,341.60,0,341.6,0.0,0.0,0.0
1649695493,342.76,0,342.76,0.0,0.0,0.0
1649695498,343.05,0,343.05,0.0,0.0,0.0
1649695503,305.76,0,305.76,0.0,0.0,0.0
1649695509,294.20,0,294.2,0.0,0.0,0.0
1649695515,294.68,0,294.68,0.0,0.0,0.0
1649695520,295.13,0,295.13,0.0,0.0,0.0
1649695526,296.86,0,296.86,0.0,0.0,0.0
1649695531,292.13,0,292.13,0.0,0.0,0.0
1649695537,291.18,0,291.18,0.0,0.0,0.0
1649695542,290.93,0,290.93,0.0,0.0,0.0
1649695548,294.37,0,294.37,0.0,0.0,0.0
1649695553,295.44,0,295.44,0.0,0.0,0.0
1649695559,296.33,0,296.33,0.0,0.0,0.0
1649695564,296.28,0,296.28,0.0,0.0,0.0
1649695569,293.16,0,293.16,0.0,0.0,0.0
1649695575,293.77,0,293.77,0.0,0.0,0.0
1649695581,292.60,0,292.6,0.0,0.0,0.0
1649695586,293.05,0,293.05,0.0,0.0,0.0
1649695592,291.68,0,291.68,0.0,0.0,0.0
1649695597,288.79,0,288.79,0.0,0.0,0.0
1649695603,288.94,0,288.94,0.0,0.0,0.0
1649695608,289.99,0,289.99,0.0,0.0,0.0
1649695614,290.85,0,290.85,0.0,0.0,0.0
1649695619,289.44,0,289.44,0.0,0.0,0.0
1649695625,291.09,0,291.09,0.0,0.0,0.0
1649695630,291.95,0,291.95,0.0,0.0,0.0
1649695636,291.60,0,291.6,0.0,0.0,0.0
1649695641,290.48,0,290.48,0.0,0.0,0.0
1649695647,289.85,0,289.85,0.0,0.0,0.0
1649695652,289.87,0,289.87,0.0,0.0,0.0
1649695658,289.20,0,289.2,0.0,0.0,0.0
1649695663,286.91,0,286.91,0.0,0.0,0.0
1649695669,286.54,0,286.54,0.0,0.0,0.0
1649695674,287.58,0,287.58,0.0,0.0,0.0
1649695680,286.35,0,286.35,0.0,0.0,0.0
1649695685,286.38,0,286.38,0.0,0.0,0.0
1649695691,286.11,0,286.11,0.0,0.0,0.0
1649695696,286.27,0,286.27,0.0,0.0,0.0
1649695702,286.37,0,286.37,0.0,0.0,0.0
1649695707,285.58,0,285.58,0.0,0.0,0.0
1649695713,284.10,0,284.1,0.0,0.0,0.0
1649695718,286.33,0,286.33,0.0,0.0,0.0
1649695724,288.21,0,288.21,0.0,0.0,0.0
1649695729,287.22,0,287.22,0.0,0.0,0.0
1649695734,287.24,0,287.24,0.0,0.0,0.0
1649695740,286.69,0,286.69,0.0,0.0,0.0
1649695746,285.36,0,285.36,0.0,0.0,0.0
1649695751,287.02,0,287.02,0.0,0.0,0.0
1649695756,275.14,0,275.14,0.0,0.0,0.0
1649695762,270.22,0,270.22,0.0,0.0,0.0
1649695768,281.61,0,281.61,0.0,0.0,0.0
1649695773,281.59,0,281.59,0.0,0.0,0.0
1649695779,280.24,0,280.24,0.0,0.0,0.0
1649695784,278.78,0,278.78,0.0,0.0,0.0
1649695790,282.20,0,282.2,0.0,0.0,0.0
1649695795,277.51,0,277.51,0.0,0.0,0.0
1649695801,288.96,0,288.96,0.0,0.0,0.0
1649695806,293.89,0,293.89,0.0,0.0,0.0
1649695812,290.57,0,290.57,0.0,0.0,0.0
1649695817,275.51,0,275.51,0.0,0.0,0.0
1649695823,272.21,0,272.21,0.0,0.0,0.0
1649695828,273.01,0,273.01,0.0,0.0,0.0
1649695833,273.12,0,273.12,0.0,0.0,0.0
1649695839,273.86,0,273.86,0.0,0.0,0.0
1649695845,273.68,0,273.68,0.0,0.0,0.0
1649695850,272.79,0,272.79,0.0,0.0,0.0
1649695855,273.37,0,273.37,0.0,0.0,0.0
1649695861,272.95,0,272.95,0.0,0.0,0.0
1649695866,273.89,0,273.89,0.0,0.0,0.0
